Frekuensi_Mendongeng_Mingguan,Rasio_Buku_Bergambar,Durasi_Gawai_Harian_Jam,Ketersediaan_Pojok_Baca,Target_Minat_Baca
6,0.37,1.1,1,1
3,0.45,5.7,1,0
4,0.87,4.0,0,1
6,0.39,2.3,0,1
2,0.25,1.3,1,1
7,0.6,4.9,1,1
4,0.94,3.9,0,1
4,0.73,3.4,1,1
6,0.61,5.4,0,1
1,0.19,4.8,1,0
2,0.65,1.3,0,0
6,0.99,2.2,1,1
2,0.23,1.9,0,0
2,0.57,4.6,1,0
7,0.89,0.7,0,1
4,0.77,3.6,0,1
3,0.73,4.7,0,0
7,0.73,5.3,1,1
7,0.42,2.4,1,1
2,0.36,5.0,0,0
5,0.83,1.1,1,1
4,0.83,5.2,1,0
1,0.88,1.2,1,0
7,0.92,2.7,0,1
3,0.56,4.9,1,0
5,0.55,1.3,0,1
5,0.82,1.8,0,1
1,0.68,4.5,1,0
7,0.73,4.5,0,1
3,0.82,4.0,1,0
4,0.9,4.3,1,1
0,0.4,3.5,1,0
3,0.44,1.9,1,1
1,0.18,2.4,0,0
5,0.62,1.5,0,1
4,0.13,5.5,1,0
3,0.52,3.7,0,0
0,0.59,2.7,0,0
0,0.36,3.0,0,0
2,0.63,5.7,0,0
2,0.13,1.3,0,0
6,0.13,3.7,0,1
1,0.84,3.3,1,0
7,0.42,3.9,1,1
3,0.21,0.6,1,1
3,0.57,5.3,0,0
7,0.79,5.6,0,1
6,0.29,3.6,0,1
5,0.66,4.3,1,1
5,0.18,5.6,1,0
6,0.15,4.4,0,1
5,0.58,1.3,1,1
2,0.59,3.7,0,0
3,0.67,3.8,1,0
6,0.75,2.8,1,1
3,0.98,4.6,1,0
7,0.56,5.6,1,1
0,0.39,5.6,1,0
2,0.82,3.0,0,0
4,0.34,1.1,1,1
2,0.5,5.9,0,0
6,0.17,5.1,1,1
4,0.12,1.2,1,1
0,0.97,5.6,1,0
6,0.85,5.3,1,1
1,0.73,3.4,1,0
3,0.47,3.8,1,0
0,0.26,2.7,1,0
3,0.24,0.8,0,1
5,0.33,2.3,0,1
1,0.59,4.9,0,0
1,0.74,0.5,0,0
0,0.69,2.3,1,0
1,0.35,2.7,0,0
4,0.96,3.5,1,1
1,0.76,5.6,0,0
3,0.6,2.4,0,0
3,0.65,2.4,1,1
6,0.48,4.6,1,1
3,0.32,3.0,1,0
6,0.42,1.7,1,1
3,0.78,3.0,1,1
4,0.11,1.3,0,1
7,0.2,1.5,1,1
6,0.14,3.2,1,1
2,0.14,2.8,1,0
5,0.87,5.5,0,0
0,0.73,2.5,1,0
3,0.53,3.7,0,0
1,0.19,4.0,0,0
7,0.54,0.6,0,1
3,0.53,4.1,1,0
1,0.26,1.5,1,0
5,0.49,5.8,1,0
5,0.46,1.3,1,1
5,0.65,2.8,1,1
1,0.67,1.0,0,0
3,0.14,6.0,0,0
5,0.44,3.3,1,1
4,0.66,3.8,0,0
6,0.55,0.9,1,1
1,0.87,4.6,1,0
1,0.69,1.7,1,0
3,0.25,5.4,1,0
1,0.16,1.6,1,0
1,0.68,1.5,1,0
5,0.12,0.7,1,1
3,0.63,3.1,1,1
5,0.95,3.6,0,1
6,0.62,0.9,1,1
7,0.45,4.8,1,1
6,0.68,3.0,0,1
7,0.51,3.4,1,1
5,0.59,2.9,1,1
6,0.95,2.7,1,1
3,0.45,3.6,0,0
0,0.97,1.4,1,0
5,0.91,1.5,1,1
7,0.28,5.2,0,1
4,0.16,5.7,0,0
7,0.19,2.6,1,1
4,0.12,2.0,0,1
1,0.18,4.0,1,0
6,0.71,2.7,1,1
4,0.16,0.6,0,1
7,0.39,1.4,1,1
1,0.86,4.4,1,0
0,0.12,4.1,1,0
3,0.83,0.6,0,1
3,0.35,1.7,1,1
3,0.21,1.8,0,0
4,0.73,4.2,0,0
0,0.67,0.6,1,0
4,0.89,1.1,0,1
6,0.76,4.9,1,1
4,0.82,1.5,0,1
0,0.35,4.1,1,0
0,0.26,1.8,0,0
6,0.78,1.0,1,1
0,0.83,1.8,1,0
7,0.99,4.5,0,1
0,0.47,5.2,0,0
3,0.43,5.1,0,0
7,0.8,2.7,1,1
7,0.41,4.2,0,1
6,0.94,1.6,1,1
2,0.87,2.1,1,1
2,0.49,5.4,0,0
0,0.78,0.6,1,0
7,0.78,1.0,1,1
2,0.19,1.6,0,0
2,0.91,0.6,0,1
0,0.55,1.5,0,0
2,0.84,3.7,1,0
4,0.39,2.8,1,1
1,0.91,5.4,1,0
6,0.45,5.0,1,1
1,0.11,2.4,1,0
0,0.91,1.9,1,0
3,0.18,2.6,1,0
6,0.39,3.7,0,1
0,0.96,2.0,0,0
7,0.96,3.9,0,1
3,0.62,2.8,0,0
1,0.67,3.5,1,0
0,0.5,2.9,1,0
7,0.36,2.1,0,1
6,0.4,5.7,0,1
6,0.71,4.7,1,1
5,0.78,1.3,1,1
7,0.81,5.3,0,1
4,0.81,3.2,1,1
2,0.18,5.4,0,0
3,0.54,4.9,0,0
7,0.15,2.8,1,1
5,0.59,0.6,1,1
2,0.5,2.0,0,0
2,0.9,3.5,1,0
0,0.42,4.0,1,0
2,0.21,1.9,1,0
4,0.23,1.3,1,1
6,0.79,5.1,1,1
5,0.66,5.9,1,0
2,0.19,3.4,1,0
0,0.18,1.4,0,0
4,0.73,2.0,0,1
1,0.17,0.6,0,0
6,0.84,5.5,1,1
6,0.74,1.1,0,1
5,0.17,3.7,1,1
6,0.18,2.0,1,1
2,0.99,3.5,0,0
0,0.44,4.1,1,0
6,0.43,5.1,1,1
6,0.83,1.6,1,1
1,0.95,0.6,0,0
1,0.99,1.3,1,1
3,0.78,5.5,1,0
4,0.44,5.3,1,0
2,0.18,3.8,1,0
6,0.8,3.8,1,1
7,0.6,4.2,1,1
6,0.48,1.5,1,1
0,0.92,5.5,1,0
3,0.2,2.8,0,0
4,0.54,2.6,1,1
7,0.11,3.4,1,1
3,0.52,0.8,1,1
5,0.15,1.4,0,1
4,0.21,4.6,1,0
6,0.21,1.0,0,1
6,0.68,3.8,1,1
4,0.77,1.8,0,1
6,0.63,2.6,1,1
2,0.97,2.1,1,1
4,0.44,2.5,0,1
3,0.36,4.5,1,0
4,0.88,2.1,1,1
7,0.3,3.6,1,1
6,0.97,3.1,1,1
2,0.11,4.2,1,0
2,0.97,5.7,1,0
5,0.14,4.5,1,1
3,0.9,1.7,1,1
1,0.57,0.7,0,0
1,0.99,1.9,1,0
4,0.17,3.8,1,0
5,0.6,0.8,1,1
0,0.97,3.2,1,0
4,0.57,3.8,1,1
5,0.67,2.3,1,1
3,0.73,4.7,0,0
3,0.51,1.1,1,1
3,0.66,0.9,0,1
3,0.63,4.5,0,0
3,0.91,3.2,0,0
5,0.14,4.3,0,0
5,0.35,2.9,1,1
2,0.96,1.9,0,0
7,0.9,5.0,1,1
1,0.51,4.9,0,0
6,0.66,4.3,0,1
3,0.35,2.0,0,0
0,0.27,3.7,0,0
6,0.52,2.5,1,1
5,0.42,1.0,1,1
0,0.63,5.5,1,0
0,0.17,1.3,1,0
0,0.98,5.7,0,0
2,0.99,3.0,1,0
5,0.73,1.5,1,1
0,0.58,3.5,1,0
3,0.38,5.3,0,0
4,0.83,4.5,0,0
0,0.72,4.9,0,0
2,0.25,4.1,0,0
6,0.92,4.3,1,1
5,0.84,5.2,1,1
7,0.95,1.9,1,1
2,0.75,3.2,1,0
0,0.65,1.7,1,0
5,0.48,5.9,1,0
4,0.94,5.7,1,0
0,0.88,0.7,0,0
2,0.14,4.4,0,0
1,0.12,5.6,0,0
3,0.44,1.5,1,1
7,0.83,3.6,1,1
6,0.99,5.5,0,1
2,0.24,0.7,1,1
5,0.63,4.3,0,1
7,0.44,2.1,1,1
7,0.97,5.6,0,1
7,0.86,5.8,0,1
0,0.85,5.7,1,0
3,0.52,3.1,0,0
0,0.47,5.2,0,0
5,0.35,5.1,0,0
0,0.15,2.3,1,0
1,0.88,5.1,1,0
3,0.83,0.7,0,1
3,1.0,3.8,1,1
5,1.0,1.8,1,1
6,0.6,1.2,0,1
1,0.79,0.9,1,1
2,0.95,4.3,0,0
0,0.86,2.4,0,0
4,0.32,4.5,1,0
0,0.51,0.9,0,0
7,0.22,2.2,1,1
0,0.96,3.5,1,0
2,0.65,4.8,0,0
0,0.31,2.3,1,0
1,0.7,3.9,0,0
1,0.66,5.4,1,0
3,0.42,3.9,1,0
5,0.2,1.8,1,1
6,0.7,0.6,1,1
4,0.57,5.3,0,0
7,0.8,0.6,1,1
0,0.57,5.3,1,0
0,0.87,3.4,1,0
2,0.6,5.7,1,0
5,0.6,4.9,1,1
1,0.89,6.0,0,0
4,0.46,2.4,0,1
3,0.22,4.7,1,0
1,0.13,2.7,1,0
7,0.78,3.1,1,1
5,0.66,4.0,1,1
7,0.73,5.3,0,1
6,0.29,5.9,0,0
3,0.22,4.7,1,0
6,0.11,2.8,0,1
2,0.42,2.8,1,0
7,0.63,4.6,1,1
2,0.45,1.8,1,0
0,0.49,1.1,0,0
6,0.91,2.5,1,1
5,0.41,2.1,1,1
7,0.56,2.1,1,1
4,0.81,1.8,0,1
3,0.46,0.7,1,1
1,0.66,0.6,1,1
5,0.88,5.9,0,0
5,0.95,2.9,0,1
2,0.23,2.6,0,0
6,0.93,4.2,1,1
7,0.54,1.7,1,1
7,0.33,5.7,1,1
0,0.51,4.8,0,0
0,0.98,1.0,0,0
3,0.54,2.8,1,1
2,0.4,5.3,1,0
5,0.67,5.7,1,1
7,0.32,3.1,0,1
4,0.17,3.9,1,0
2,0.22,1.4,1,0
3,0.22,6.0,1,0
3,0.24,1.8,1,1
2,0.22,5.7,1,0
3,0.68,4.1,1,0
2,0.26,3.8,0,0
1,0.41,3.3,0,0
2,0.91,1.8,1,1
6,0.53,1.5,1,1
2,0.7,1.7,0,0
3,0.26,1.5,0,1
7,0.27,4.8,0,1
6,0.14,2.4,1,1
3,0.25,0.8,0,1
0,0.35,5.8,0,0
0,0.26,5.4,0,0
7,0.18,5.6,0,1
7,0.21,6.0,0,1
6,0.51,1.5,1,1
1,0.29,2.7,0,0
7,0.43,4.7,1,1
0,0.55,4.3,0,0
2,0.72,1.3,1,1
3,0.14,5.0,1,0
0,0.82,1.7,1,0
0,0.67,1.7,1,0
1,0.17,3.5,0,0
6,0.89,3.8,0,1
6,0.93,3.7,1,1
5,0.15,1.0,1,1
1,0.35,5.3,1,0
2,0.83,2.0,1,1
6,0.77,1.2,1,1
3,0.27,5.4,1,0
7,0.29,5.8,0,1
1,0.43,5.2,1,0
7,0.54,5.0,1,1
0,0.66,4.1,0,0
3,0.43,3.5,1,0
3,0.52,1.0,0,1
